protocol,mode,run_id,seed,affinity,allowed_cpus,warmup_ops,warmup_rounds,sample,round,phase,position,variant,ops,calls_per_op,elapsed_ns,cpu_before,cpu_after,result
interleaved,interleaved,74,20260990,libre,22,0,10,203,67,measure,2,B,20000,2,193991,3,3,1643743779781396116
interleaved,interleaved,74,20260990,libre,22,0,10,204,68,measure,0,A,20000,1,94969,3,3,16928811220823203745
interleaved,interleaved,74,20260990,libre,22,0,10,205,68,measure,1,A_bis,20000,1,94981,3,3,4524269349305620686
interleaved,interleaved,74,20260990,libre,22,0,10,206,68,measure,2,B,20000,2,189890,3,3,14192580505964123187
interleaved,interleaved,74,20260990,libre,22,0,10,207,69,measure,0,A_bis,20000,1,94960,3,3,9918974146085017813
interleaved,interleaved,74,20260990,libre,22,0,10,208,69,measure,1,A,20000,1,96689,3,3,15457950933117358722
interleaved,interleaved,74,20260990,libre,22,0,10,209,69,measure,2,B,20000,2,189929,3,3,1625385091677520483
interleaved,interleaved,74,20260990,libre,22,0,10,210,70,measure,0,A_bis,20000,1,98418,3,3,10778423467242473649
interleaved,interleaved,74,20260990,libre,22,0,10,211,70,measure,1,B,20000,2,195461,3,3,10029932914976003095
interleaved,interleaved,74,20260990,libre,22,0,10,212,70,measure,2,A,20000,1,94968,3,3,721305070728155059
interleaved,interleaved,74,20260990,libre,22,0,10,213,71,measure,0,B,20000,2,189925,3,3,17399030611666997303
interleaved,interleaved,74,20260990,libre,22,0,10,214,71,measure,1,A_bis,20000,1,94969,3,3,16867136495451486769
interleaved,interleaved,74,20260990,libre,22,0,10,215,71,measure,2,A,20000,1,94969,3,3,13894017110557266459
interleaved,interleaved,74,20260990,libre,22,0,10,216,72,measure,0,A,20000,1,96688,3,3,5986982334804439416
interleaved,interleaved,74,20260990,libre,22,0,10,217,72,measure,1,A_bis,20000,1,94970,3,3,3058678193313473624
interleaved,interleaved,74,20260990,libre,22,0,10,218,72,measure,2,B,20000,2,194479,3,3,17427376437242578552
interleaved,interleaved,74,20260990,libre,22,0,10,219,73,measure,0,B,20000,2,195535,3,3,4112128705256291302
interleaved,interleaved,74,20260990,libre,22,0,10,220,73,measure,1,A_bis,20000,1,94973,3,3,9937887608048046748
interleaved,interleaved,74,20260990,libre,22,0,10,221,73,measure,2,A,20000,1,94978,3,3,13243448329900749551
interleaved,interleaved,74,20260990,libre,22,0,10,222,74,measure,0,A,20000,1,94985,3,3,11022308740860788485
interleaved,interleaved,74,20260990,libre,22,0,10,223,74,measure,1,B,20000,2,189934,3,3,4878279589046096669
interleaved,interleaved,74,20260990,libre,22,0,10,224,74,measure,2,A_bis,20000,1,94959,3,3,2250054428248085600
interleaved,interleaved,74,20260990,libre,22,0,10,225,75,measure,0,B,20000,2,194379,3,3,10316181749323887272
interleaved,interleaved,74,20260990,libre,22,0,10,226,75,measure,1,A_bis,20000,1,94996,3,3,12388290808963951705
interleaved,interleaved,74,20260990,libre,22,0,10,227,75,measure,2,A,20000,1,94982,3,3,1808607838166140134
interleaved,interleaved,74,20260990,libre,22,0,10,228,76,measure,0,A_bis,20000,1,94958,3,3,2599258146320508071
interleaved,interleaved,74,20260990,libre,22,0,10,229,76,measure,1,A,20000,1,94968,3,3,1535112947876730101
interleaved,interleaved,74,20260990,libre,22,0,10,230,76,measure,2,B,20000,2,189908,3,3,7735630330098467440
interleaved,interleaved,74,20260990,libre,22,0,10,231,77,measure,0,A,20000,1,94977,3,3,9320749341721491331
interleaved,interleaved,74,20260990,libre,22,0,10,232,77,measure,1,B,20000,2,189906,3,3,15797815485747706444
